object_id,event_id,lat,lng,event_date,size,country,landslide_category
3844269,4846,3.1621,101.684,2013-05-08 03:00:00,medium,Malaysia,landslide
3844270,8128,45.9767,-123.1947,2015-12-08 14:02:00,unknown,United States,landslide
3844271,3390,39.0744,-84.6449,2011-04-21 00:00:00,medium,United States,landslide
3844272,3063,10.3402,125.0778,2011-01-27 00:00:00,small,Philippines,landslide
3844273,2927,11.2462,124.9944,2011-01-02 00:00:00,medium,Philippines,landslide
3844275,4241,25.1604,93.6795,2012-03-04 00:00:00,medium,India,landslide
3844276,2069,28.9525,101.5041,2010-07-13 04:00:00,medium,China,landslide
3844278,609,11.41,76.69,2008-06-25 00:00:00,medium,India,landslide
3844279,8517,46.1199,-123.3467,2012-12-19 18:02:00,unknown,United States,landslide
3844280,5054,31.7018,76.9424,2013-07-07 00:00:00,small,India,landslide
3844281,4317,-6.9759,109.1949,2012-04-08 21:00:00,medium,Indonesia,landslide
3844282,3646,16.58058045,98.31350436,2011-06-24 00:00:00,large,Myanmar,landslide
3844283,2151,29.3199,102.7348,2010-07-27 05:00:00,large,China,landslide
3844284,2342,41.0524,40.6167,2010-08-26 18:00:00,medium,Turkey,landslide
3844285,8494,42.1764,-124.3144,2013-01-19 11:03:00,unknown,United States,landslide
3844286,8057,44.4304,-124.0496,2015-12-17 22:02:00,unknown,United States,landslide
3844287,8311,46.1306,-123.8073,2014-03-31 09:22:00,unknown,,landslide
3844288,3429,-3.1448,119.7979,2011-04-27 20:00:00,medium,Indonesia,landslide
3844289,7130,40.1548,-79.7389,2015-04-19 00:00:00,medium,United States,landslide
3844290,3783,57.6513,-4.1153,2011-07-15 00:00:00,medium,United Kingdom,landslide
3844291,3898,22.2009,92.2168,2011-08-08 00:00:00,medium,Bangladesh,landslide
3844292,770,27.7649,87.199,2008-09-02 00:00:00,medium,Nepal,landslide
3844293,1809,35.9778,-86.8239,2010-05-02 00:00:00,medium,United States,landslide
3844297,755,27.337,88.609,2008-08-28 00:00:00,medium,India,landslide
3844299,8553,42.367,-124.4188,2012-11-20 07:03:00,unknown,United States,landslide
3844301,8235,19.1849,-96.1585,2015-09-17 00:00:00,large,Mexico,landslide
3844302,4737,7.4166,126.0011,2013-01-28 19:00:00,medium,Philippines,landslide
3844303,4269,36.0464,103.8128,2012-03-17 19:40:00,medium,China,landslide
3844304,6725,0.9039,123.0963,2015-01-18 00:00:00,large,Indonesia,landslide
3844308,5910,-17.6231,178.2678,2014-02-28 00:00:00,unknown,Fiji,landslide
3844311,105,-4.065,-78.95100000000001,2007-06-27 00:00:00,medium,Ecuador,landslide
3844314,4156,41.0555,-124.1271,2012-01-19 17:00:00,small,United States,landslide
3844315,4867,25.3919,114.8246,2013-05-16 00:00:00,large,China,landslide
3844316,5847,50.5845,-1.2566,2014-02-08 00:00:00,medium,United Kingdom,landslide
3844319,2610,16.2137,107.2806,2010-10-17 00:00:00,medium,Vietnam,landslide
3844320,4352,6.0211,116.49700000000001,2012-05-06 15:00:00,medium,Malaysia,landslide
3844322,3075,8.572000000000001,125.4908,2011-01-30 00:00:00,medium,Philippines,landslide
3844323,511,-7.6667,111.117,2008-04-28 00:00:00,large,Indonesia,landslide
3844324,8614,42.1763,-124.3142,2012-03-30 09:21:00,unknown,United States,landslide
3844325,9508,28.7835,119.3033,2016-10-04 17:00:00,large,China,landslide
3844326,4399,49.8095,-119.3774,2012-06-10 00:00:00,medium,Canada,landslide
3844327,792,29.8,95.7,2008-09-16 00:00:00,medium,China,landslide
3844328,8081,45.9951,-122.87700000000001,2015-12-10 22:12:00,unknown,United States,landslide
3844329,1972,21.4384,92.0082,2010-06-15 00:00:00,medium,Bangladesh,landslide
3844330,2851,47.7358,-122.2861,2010-12-13 09:00:00,medium,United States,landslide
3844331,6555,27.8868,85.5107,2014-08-27 00:00:00,medium,Nepal,landslide
3844332,5061,37.489000000000004,-83.3588,2013-07-08 00:00:00,medium,United States,landslide
3844333,5364,35.4608,-118.7773,2013-08-19 17:00:00,medium,United States,landslide
3844334,1756,27.322,88.6087,2010-04-17 00:00:00,small,India,landslide
3844335,2571,28.7038,80.9787,2010-10-08 00:00:00,medium,Nepal,landslide
3844337,5127,40.3364,-105.6744,2013-07-18 00:00:00,medium,United States,landslide
3844338,761,34.9489,137.1998,2008-08-29 00:00:00,medium,Japan,landslide
3844339,1726,-22.8781,-43.0455,2010-04-06 00:00:00,medium,Brazil,landslide
3844341,1930,28.4298,95.8776,2010-05-31 00:00:00,medium,India,landslide
3844342,8745,19.19,73.009,2016-06-21 09:00:00,small,India,landslide
3844343,5681,45.7686,4.8111,2013-12-09 23:00:00,small,France,landslide
3844345,9334,24.5204,92.7264,2016-05-18 08:00:00,unknown,India,landslide
3844346,6433,47.9849,-113.6809,2014-07-16 00:00:00,small,United States,landslide
3844347,8166,45.8569,-118.9066,2015-10-02 12:02:00,unknown,United States,landslide
3844348,612,28.57,83.45,2008-06-27 00:00:00,medium,Nepal,landslide
3844350,1964,47.7028,-121.95700000000001,2010-06-11 00:00:00,small,United States,landslide
3844351,6102,12.3491,-84.8196,2014-06-23 00:00:00,medium,Nicaragua,landslide
3844352,4657,44.8993,-123.1155,2012-12-05 00:00:00,medium,United States,landslide
3844353,8324,42.6016,-123.3834,2014-03-28 11:27:00,unknown,United States,landslide
3844354,8237,27.0136,92.6351,2016-07-01 00:00:00,large,India,landslide
3844355,3747,32.3237,77.1935,2011-07-08 00:00:00,medium,India,landslide
3844356,9207,21.3681,-157.7894,2016-07-26 00:00:00,medium,United States,landslide
3844358,6981,7.8784,98.2997,2015-06-13 00:00:00,medium,Thailand,landslide
3844359,4095,1.507,-77.2223,2011-12-15 00:00:00,large,Colombia,landslide
3844360,5323,34.2601,75.4466,2013-08-13 00:00:00,medium,India,landslide
3844361,5903,41.1272,-111.9381,2014-02-27 00:00:00,medium,United States,landslide
3844362,1192,16.7432,120.8269,2009-09-26 00:00:00,large,Philippines,landslide
3844363,7230,33.098,-116.6468,2015-07-19 00:00:00,small,United States,landslide
3844364,5487,27.772,85.9052,2013-09-09 23:00:00,medium,Nepal,landslide
3844365,5468,22.3145,104.095,2013-09-05 00:00:00,very_large,Vietnam,landslide
3844366,7362,28.2635,83.6118,2015-07-30 23:00:00,medium,Nepal,landslide
3844367,2489,53.9923,-1.7949000000000002,2010-09-23 23:00:00,small,United Kingdom,landslide
3844369,4138,40.4376,-80.0176,2012-01-11 00:00:00,small,United States,landslide
3844371,4385,27.7167,88.5577,2012-06-03 00:00:00,medium,India,landslide
3844373,10042,-41.32446098,174.76600728,2017-04-06 23:00:00,small,New Zealand,landslide
3844374,7725,16.9379,120.9263,2015-08-21 00:00:00,medium,Philippines,landslide
3844376,4950,12.8446,75.2476,2013-06-18 08:00:00,medium,India,landslide
3844377,2188,36.0636,74.2869,2010-08-01 00:00:00,medium,Pakistan,landslide
3844379,6724,13.8383,124.2714,2015-01-19 00:00:00,medium,Philippines,landslide
3844380,5147,-41.7506,174.2633,2013-07-21 00:00:00,medium,New Zealand,landslide
3844381,3565,9.8306,76.9408,2011-06-02 00:00:00,medium,India,landslide
3844382,9075,13.9716,121.9162,2015-12-18 00:00:00,medium,Philippines,landslide
3844383,5780,1.3801,124.8238,2014-01-14 00:00:00,large,Indonesia,landslide
3844384,5499,14.7333,121.6,2013-09-11 00:00:00,medium,Philippines,landslide
3844386,585,27.0998,93.6287,2008-06-14 00:00:00,large,India,landslide
3844387,8475,45.3054,-121.816,2013-05-22 16:06:00,unknown,United States,landslide
3844388,2041,30.2485,78.8847,2010-07-06 00:00:00,medium,India,landslide
3844389,4478,16.4185,120.6003,2012-08-15 00:00:00,medium,Philippines,landslide
3844392,6174,33.2395,75.2406,2014-07-22 05:30:00,small,India,landslide
3844393,5942,44.2136,8.4163,2014-03-09 00:00:00,medium,Italy,landslide
3844394,1322,2.8,98.5333,2009-11-22 00:00:00,medium,Indonesia,landslide
3844395,8841,44.3978,-123.9328,2011-01-16 16:20:00,unknown,United States,landslide
3844397,4859,26.1771,91.7599,2013-05-11 00:00:00,medium,India,landslide
3844398,3530,7.3521,126.1544,2011-05-23 00:00:00,medium,Philippines,landslide
3844400,6307,19.1008,84.0502,2014-10-12 00:00:00,medium,India,landslide
3844401,2536,12.7796,75.5844,2010-10-03 19:00:00,medium,India,landslide
3844402,6939,50.766000000000005,-1.2786,2014-04-27 00:00:00,small,United Kingdom,landslide
3844403,7613,32.9961,75.1994,2015-08-08 00:00:00,medium,India,landslide
3844405,6377,49.1797,-121.7407,2014-11-08 14:00:00,small,Canada,landslide
3844406,1699,-22.962,-43.1737,2010-04-06 00:00:00,medium,Brazil,landslide
3844407,2483,22.4827,111.3604,2010-09-21 00:00:00,medium,China,landslide
3844408,4172,-28.5358,153.3923,2012-01-27 00:00:00,medium,Australia,landslide
3844409,8657,43.3593,-124.1619,2012-03-13 07:39:00,unknown,United States,landslide
3844410,9130,57.57899999999999,-4.5973,2015-12-30 00:00:00,small,United Kingdom,landslide
3844411,6069,28.0054,82.68,2014-06-19 23:00:00,medium,Nepal,landslide
3844412,2664,10.8334,-60.9436,2010-10-31 08:00:00,medium,Trinidad and Tobago,landslide
3844413,2592,-0.9359999999999999,122.1815,2010-10-12 00:00:00,medium,Indonesia,landslide
3844414,4436,26.9986,95.4993,2012-06-25 00:00:00,medium,India,landslide
3844415,1324,-7.7333,109.0,2009-11-22 00:00:00,medium,Indonesia,landslide
3844416,9428,27.5523,91.75200000000001,2016-04-22 21:30:00,medium,India,landslide
3844420,7034,27.0875,88.6556,2015-06-30 00:00:00,medium,India,landslide
3844422,2733,50.3859,-4.7497,2010-11-17 04:00:00,medium,United Kingdom,landslide
3844425,4308,-6.9959,107.5044,2012-04-05 14:00:00,medium,Indonesia,landslide
3844426,150,30.4,79.34899999999999,2007-07-30 00:00:00,medium,India,landslide
3844430,3181,40.3927,-80.1091,2011-03-08 08:00:00,medium,United States,landslide
3844431,7298,22.3513,91.8295,2015-07-27 00:00:00,small,Bangladesh,landslide
3844432,7539,37.4096,-81.4268,2016-02-23 00:00:00,small,United States,landslide
3844434,4286,42.6118,-124.3924,2012-03-29 22:00:00,small,United States,landslide
3844435,5377,34.0942,74.0226,2013-08-19 00:00:00,medium,India,landslide
3844437,3421,-40.1685,176.8242,2011-04-26 09:00:00,medium,New Zealand,landslide
3844438,7562,43.3978,-124.2206,2016-03-13 14:30:00,small,United States,landslide
3844441,8819,42.918,-124.1108,2011-02-17 12:35:00,unknown,United States,landslide
3844442,6450,27.0409,103.4086,2014-08-03 16:03:00,medium,China,landslide
3844445,2519,18.0677,-77.0476,2010-09-29 00:00:00,medium,Jamaica,landslide
3844446,786,27.776999999999997,85.3717,2008-09-11 00:00:00,medium,Nepal,landslide
3844447,4381,14.5703,121.1682,2012-06-02 00:00:00,medium,Philippines,landslide
3844448,794,27.136999999999997,103.95,2008-09-18 00:00:00,medium,China,landslide
3844449,6044,6.6206,80.1721,2014-06-01 23:00:00,medium,Sri Lanka,landslide
3844451,842,15.8,107.88,2008-10-12 00:00:00,medium,Vietnam,landslide
3844454,7478,13.9719,-84.6701,2015-06-10 23:00:00,small,Nicaragua,landslide
3844455,2540,6.8066,80.9779,2010-10-03 00:00:00,medium,Sri Lanka,landslide
3844456,173,30.0702,78.3027,2007-08-11 00:00:00,medium,India,landslide
3844457,8198,43.1843,-124.2454,2015-02-08 04:35:00,unknown,United States,landslide
3844458,3805,27.05374234,88.42572376000003,2011-07-19 00:00:00,medium,India,landslide
3844459,2133,-3.4326,126.6457,2010-07-25 00:00:00,large,Indonesia,landslide
3844461,2772,10.4891,-66.91460000000001,2010-11-29 00:00:00,medium,Venezuela,landslide
3844462,1688,-22.9006,-43.0784,2010-04-06 00:00:00,medium,Brazil,landslide
3844463,2692,9.1922,-83.6055,2010-11-04 00:00:00,medium,Costa Rica,landslide
3844464,3465,-3.6849,119.6525,2011-05-05 00:00:00,medium,Indonesia,landslide
3844465,5034,28.2654,104.1313,2013-07-05 05:00:00,medium,China,landslide
3844467,2471,29.7911,80.058,2010-09-19 00:00:00,medium,India,landslide
3844469,6600,5.7884,95.2897,2014-12-27 00:00:00,medium,Indonesia,landslide
3844470,5892,-2.5236,140.718,2014-02-22 18:00:00,large,Indonesia,landslide
3844471,9373,35.2856,73.1642,2016-04-04 00:00:00,large,Pakistan,landslide
3844472,7004,21.4406,92.118,2015-06-27 09:00:00,small,Bangladesh,landslide
3844473,4370,42.7188,25.7153,2012-05-29 00:00:00,medium,Bulgaria,landslide
3844474,7171,33.9445,74.79899999999999,2015-03-30 00:00:00,medium,India,landslide
3844475,6847,57.147,-5.0937,2015-03-08 00:00:00,small,United Kingdom,landslide
3844476,5921,-43.6069,172.7072,2014-03-05 13:53:00,large,New Zealand,landslide
3844477,6972,19.1209,72.8406,2015-06-12 11:15:00,small,India,landslide
3844479,1715,-22.9033,-43.1201,2010-04-06 00:00:00,medium,Brazil,landslide
3844480,4328,11.1807,-60.7651,2012-04-18 00:00:00,medium,Trinidad and Tobago,landslide
3844481,2219,35.0148,75.6213,2010-08-07 00:00:00,large,Pakistan,landslide
3844482,6171,29.1491,81.6165,2014-07-21 00:00:00,small,Nepal,landslide
3844483,8788,43.6515,-123.6607,2011-04-07 03:48:00,unknown,United States,landslide
3844485,2488,31.0215,77.1038,2010-09-22 00:00:00,medium,India,landslide
3844487,3666,32.4318,77.2147,2011-06-29 00:00:00,medium,India,landslide
3844488,7246,27.7768,85.8888,2015-07-16 00:00:00,medium,Nepal,landslide
3844489,4427,30.4297,97.1598,2012-06-22 15:00:00,large,China,landslide
3844491,8988,10.2288,77.4767,2015-12-07 00:00:00,medium,India,landslide
3844492,8075,46.0603,-122.8952,2015-12-12 09:33:00,unknown,United States,landslide
3844493,5627,11.03424851,124.84426584,2013-11-08 00:00:00,very_large,Philippines,landslide
3844495,3738,24.8063,93.9482,2011-07-06 00:00:00,medium,India,landslide
3844496,240,15.5063,73.8362,2007-09-07 00:00:00,medium,India,landslide
3844498,4476,16.4034,120.5962,2012-08-15 00:00:00,medium,Philippines,landslide
3844499,209,4.8525,100.7943,2007-08-25 00:00:00,medium,Malaysia,landslide
3844502,6286,26.1044,91.7082,2014-09-22 00:00:00,small,India,landslide
3844503,3629,15.2932,74.1447,2011-06-19 00:00:00,medium,India,landslide
3844504,9088,44.0434,-124.0743,2015-12-18 00:00:00,medium,United States,landslide
3844505,9392,41.10519866,70.51167011,2016-05-04 14:00:00,medium,Uzbekistan,landslide
3844506,7032,27.4916,85.4416,2015-06-29 00:00:00,medium,Nepal,landslide
3844507,4800,47.88901904,-122.3275065,2013-04-08 12:00:00,medium,United States,landslide
3844508,3305,9.0103,99.0886,2011-03-27 00:00:00,medium,Thailand,landslide
